Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	3:33 2/3/2020	151
Jim	15:58 2/3/2020	136
Tom	15:58 2/3/2020	151
Mike	15:58 2/3/2020	184
TomH	4:33 2/5/2020	136
Lana	4:33 2/5/2020	129
Mike	4:42 2/5/2020	120
Tom	4:42 2/5/2020	121
TomH	4:42 2/5/2020	169
Jim	4:43 2/5/2020	147
Tom	4:43 2/5/2020	129
Jim	18:8 2/5/2020	103
Lana	18:8 2/5/2020	110
Jim	18:8 2/5/2020	136
Lana	18:8 2/5/2020	133
Mike	18:39 2/5/2020	143
Tom	18:39 2/5/2020	146
Mike	21:50 2/5/2020	154
Lana	21:50 2/5/2020	138
TomH	21:50 2/5/2020	122
Mike	21:50 2/5/2020	99
Jim	21:51 2/5/2020	108
Tom	21:51 2/5/2020	143
Lana	21:51 2/5/2020	150
TomH	21:51 2/5/2020	112
Mike	21:52 2/5/2020	113
Lana	21:52 2/5/2020	175
Jim	21:52 2/5/2020	147
Mike	21:52 2/5/2020	176
Tom	21:53 2/5/2020	97
TomH	21:53 2/5/2020	156
Tom	21:53 2/5/2020	116
Lana	21:53 2/5/2020	106
Lana	21:54 2/5/2020	127
Mike	22:9 2/5/2020	144
Jim	22:9 2/5/2020	126
Tom	22:9 2/5/2020	135
Lana	22:9 2/5/2020	120
Mike	2:26 3/2/3920	189
Tom	2:26 3/2/3920	130
TomH	2:26 3/2/3920	97
Tanmay	6:6 3/8/3920	149
Mike	5:46 3/9/3920	125
Jim	5:46 3/9/3920	137
